"filename", "language", "XML", "C#", "Markdown", "PostCSS", "JavaScript", "HTML", "JSON", "Properties", "comment", "blank", "total"
"d:\Code\MMT\RCS\RCS.Client\Public\Js\main.js", "JavaScript", 0, 0, 0, 0, 1170, 0, 0, 0, 185, 281, 1636
"d:\Code\MMT\RCS\RCS.Client\Public\Js\network.js", "JavaScript", 0, 0, 0, 0, 52, 0, 0, 0, 4, 10, 66
"d:\Code\MMT\RCS\RCS.Client\Public\Js\utils.js", "JavaScript", 0, 0, 0, 0, 206, 0, 0, 0, 46, 56, 308
"d:\Code\MMT\RCS\RCS.Client\Public\css\button.css", "PostCSS", 0, 0, 0, 175, 0, 0, 0, 0, 29, 32, 236
"d:\Code\MMT\RCS\RCS.Client\Public\css\input.css", "PostCSS", 0, 0, 0, 103, 0, 0, 0, 0, 16, 23, 142
"d:\Code\MMT\RCS\RCS.Client\Public\css\style.css", "PostCSS", 0, 0, 0, 550, 0, 0, 0, 0, 31, 117, 698
"d:\Code\MMT\RCS\RCS.Client\Public\index.html", "HTML", 0, 0, 0, 0, 0, 297, 0, 0, 5, 69, 371
"d:\Code\MMT\RCS\RCS.Common\Models\ApplicationInfo.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 8, 1, 18
"d:\Code\MMT\RCS\RCS.Common\Models\CommandMessage.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 8, 1, 17
"d:\Code\MMT\RCS\RCS.Common\Models\ProcessInfo.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 9, 3, 26
"d:\Code\MMT\RCS\RCS.Common\Models\ResponseMessage.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 0, 9, 2, 24
"d:\Code\MMT\RCS\RCS.Common\Models\SystemSpecs.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 6, 5, 28
"d:\Code\MMT\RCS\RCS.Common\Protocols\ProtocolConstants.cs", "C#", 0, 32, 0, 0, 0, 0, 0, 0, 15, 10, 57
"d:\Code\MMT\RCS\RCS.Common\RCS.Common.csproj", "XML", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Code\MMT\RCS\RCS.Common\bin\Debug\net8.0\RCS.Common.deps.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 23
"d:\Code\MMT\RCS\RCS.Common\bin\Release\net8.0\RCS.Common.deps.json", "JSON", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 34
"d:\Code\MMT\RCS\RCS.Common\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 5
"d:\Code\MMT\RCS\RCS.Common\obj\Debug\net8.0\RCS.Common.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 9, 5, 23
"d:\Code\MMT\RCS\RCS.Common\obj\Debug\net8.0\RCS.Common.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"d:\Code\MMT\RCS\RCS.Common\obj\Debug\net8.0\RCS.Common.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 1, 1, 9
"d:\Code\MMT\RCS\RCS.Common\obj\Debug\net8.0\RCS.Common.sourcelink.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Code\MMT\RCS\RCS.Common\obj\RCS.Common.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 70
"d:\Code\MMT\RCS\RCS.Common\obj\RCS.Common.csproj.nuget.g.props", "XML", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"d:\Code\MMT\RCS\RCS.Common\obj\RCS.Common.csproj.nuget.g.targets", "XML", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\Code\MMT\RCS\RCS.Common\obj\Release\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 5
"d:\Code\MMT\RCS\RCS.Common\obj\Release\net8.0\RCS.Common.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 9, 5, 23
"d:\Code\MMT\RCS\RCS.Common\obj\Release\net8.0\RCS.Common.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 0, 0, 17, 0, 1, 18
"d:\Code\MMT\RCS\RCS.Common\obj\Release\net8.0\RCS.Common.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 1, 1, 9
"d:\Code\MMT\RCS\RCS.Common\obj\Release\net8.0\RCS.Common.sourcelink.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Code\MMT\RCS\RCS.Common\obj\project.assets.json", "JSON", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 76
"d:\Code\MMT\RCS\RCS.Server\Hubs\AgentHub.cs", "C#", 0, 53, 0, 0, 0, 0, 0, 0, 5, 18, 76
"d:\Code\MMT\RCS\RCS.Server\Hubs\ClientHub.cs", "C#", 0, 71, 0, 0, 0, 0, 0, 0, 32, 22, 125
"d:\Code\MMT\RCS\RCS.Server\Program.cs", "C#", 0, 47, 0, 0, 0, 0, 0, 0, 24, 19, 90
"d:\Code\MMT\RCS\RCS.Server\RCS.Server.csproj", "XML", 10, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
"d:\Code\MMT\RCS\RCS.Server\Services\AgentCommandService.cs", "C#", 0, 29, 0, 0, 0, 0, 0, 0, 15, 5, 49
"d:\Code\MMT\RCS\RCS.Server\Services\ConnectionManager.cs", "C#", 0, 35, 0, 0, 0, 0, 0, 0, 26, 11, 72
"d:\Code\MMT\RCS\RCS.Server\Services\IconnectionManager.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 23, 8, 46
"d:\Code\MMT\RCS\RCS.Server\Services\UpdlistenerServicse.cs", "C#", 0, 154, 0, 0, 0, 0, 0, 0, 54, 44, 252
"d:\Code\MMT\RCS\README.md", "Markdown", 0, 0, 83, 0, 0, 0, 0, 0, 0, 63, 146
"Total", "-", 51, 2103, 83, 858, 3953, 361, 205, 30, 1016, 1301, 9961
